field_of_study,year,race,program_type,graduates
Natural sciences,2009,African,Undergraduate,7329.5
Natural sciences,2009,African,PG < Masters,1155.75
Natural sciences,2009,African,Masters,518.92
Natural sciences,2009,African,Doctorate,170.0
Natural sciences,2009,Coloured,Undergraduate,620.67
Natural sciences,2009,Coloured,PG < Masters,157.67
Natural sciences,2009,Coloured,Masters,61.58
Natural sciences,2009,Coloured,Doctorate,30.0
Natural sciences,2009,Indian,Undergraduate,613.83
Natural sciences,2009,Indian,PG < Masters,208.17
Natural sciences,2009,Indian,Masters,85.5
Natural sciences,2009,Indian,Doctorate,27.0
Natural sciences,2009,White,Undergraduate,3106.92
Natural sciences,2009,White,PG < Masters,1207.92
Natural sciences,2009,White,Masters,529.92
Natural sciences,2009,White,Doctorate,201.5
Engineering and technology,2009,African,Undergraduate,6409.92
Engineering and technology,2009,African,PG < Masters,379.67
Engineering and technology,2009,African,Masters,320.25
Engineering and technology,2009,African,Doctorate,28.0
Engineering and technology,2009,Coloured,Undergraduate,657.25
Engineering and technology,2009,Coloured,PG < Masters,37.5
Engineering and technology,2009,Coloured,Masters,41.0
Engineering and technology,2009,Coloured,Doctorate,3.0
Engineering and technology,2009,Indian,Undergraduate,784.42
Engineering and technology,2009,Indian,PG < Masters,90.33
Engineering and technology,2009,Indian,Masters,78.0
Engineering and technology,2009,Indian,Doctorate,7.0
Engineering and technology,2009,White,Undergraduate,3563.17
Engineering and technology,2009,White,PG < Masters,603.83
Engineering and technology,2009,White,Masters,570.17
Engineering and technology,2009,White,Doctorate,68.0
Health sciences,2009,African,Undergraduate,3957.67
Health sciences,2009,African,PG < Masters,1346.75
Health sciences,2009,African,Masters,404.75
Health sciences,2009,African,Doctorate,55.5
Health sciences,2009,Coloured,Undergraduate,815.75
Health sciences,2009,Coloured,PG < Masters,414.0
Health sciences,2009,Coloured,Masters,65.0
Health sciences,2009,Coloured,Doctorate,9.0
Health sciences,2009,Indian,Undergraduate,745.5
Health sciences,2009,Indian,PG < Masters,160.17
Health sciences,2009,Indian,Masters,110.0
Health sciences,2009,Indian,Doctorate,15.0
Health sciences,2009,White,Undergraduate,2491.92
Health sciences,2009,White,PG < Masters,927.75
Health sciences,2009,White,Masters,507.0
Health sciences,2009,White,Doctorate,91.5
"Business, economic and management sciences",2009,African,Undergraduate,17289.83
"Business, economic and management sciences",2009,African,PG < Masters,1705.17
"Business, economic and management sciences",2009,African,Masters,572.75
"Business, economic and management sciences",2009,African,Doctorate,20.5
"Business, economic and management sciences",2009,Coloured,Undergraduate,2019.5
"Business, economic and management sciences",2009,Coloured,PG < Masters,377.17
"Business, economic and management sciences",2009,Coloured,Masters,97.08
"Business, economic and management sciences",2009,Coloured,Doctorate,3.0
"Business, economic and management sciences",2009,Indian,Undergraduate,1888.17
"Business, economic and management sciences",2009,Indian,PG < Masters,643.67
"Business, economic and management sciences",2009,Indian,Masters,147.5
"Business, economic and management sciences",2009,Indian,Doctorate,5.0
"Business, economic and management sciences",2009,White,Undergraduate,5861.75
"Business, economic and management sciences",2009,White,PG < Masters,2491.0
"Business, economic and management sciences",2009,White,Masters,715.17
"Business, economic and management sciences",2009,White,Doctorate,34.0
Education,2009,African,Undergraduate,22003.58
Education,2009,African,PG < Masters,5280.58
Education,2009,African,Masters,285.5
Education,2009,African,Doctorate,66.0
Education,2009,Coloured,Undergraduate,1234.0
Education,2009,Coloured,PG < Masters,830.83
Education,2009,Coloured,Masters,40.0
Education,2009,Coloured,Doctorate,9.0
Education,2009,Indian,Undergraduate,521.83
Education,2009,Indian,PG < Masters,372.17
Education,2009,Indian,Masters,41.0
Education,2009,Indian,Doctorate,14.0
Education,2009,White,Undergraduate,2720.83
Education,2009,White,PG < Masters,1850.58
Education,2009,White,Masters,170.5
Education,2009,White,Doctorate,58.0
Humanities and social sciences,2009,African,Undergraduate,13375.5
Humanities and social sciences,2009,African,PG < Masters,2820.08
Humanities and social sciences,2009,African,Masters,1147.83
Humanities and social sciences,2009,African,Doctorate,176.0
Humanities and social sciences,2009,Coloured,Undergraduate,1831.83
Humanities and social sciences,2009,Coloured,PG < Masters,395.83
Humanities and social sciences,2009,Coloured,Masters,156.33
Humanities and social sciences,2009,Coloured,Doctorate,21.0
Humanities and social sciences,2009,Indian,Undergraduate,1428.25
Humanities and social sciences,2009,Indian,PG < Masters,361.5
Humanities and social sciences,2009,Indian,Masters,144.0
Humanities and social sciences,2009,Indian,Doctorate,16.0
Humanities and social sciences,2009,White,Undergraduate,7309.42
Humanities and social sciences,2009,White,PG < Masters,2640.92
Humanities and social sciences,2009,White,Masters,1264.25
Humanities and social sciences,2009,White,Doctorate,244.0
Natural sciences,2010,African,Undergraduate,8471.67
Natural sciences,2010,African,PG < Masters,1565.66
Natural sciences,2010,African,Masters,610.92
Natural sciences,2010,African,Doctorate,198.25
Natural sciences,2010,Coloured,Undergraduate,706.67
Natural sciences,2010,Coloured,PG < Masters,194.67
Natural sciences,2010,Coloured,Masters,76.0
Natural sciences,2010,Coloured,Doctorate,29.0
Natural sciences,2010,Indian,Undergraduate,599.5
Natural sciences,2010,Indian,PG < Masters,238.08
Natural sciences,2010,Indian,Masters,108.0
Natural sciences,2010,Indian,Doctorate,39.0
Natural sciences,2010,White,Undergraduate,3077.83
Natural sciences,2010,White,PG < Masters,1420.16
Natural sciences,2010,White,Masters,659.17
Natural sciences,2010,White,Doctorate,234.0
Engineering and technology,2010,African,Undergraduate,6529.92
Engineering and technology,2010,African,PG < Masters,332.0
Engineering and technology,2010,African,Masters,327.0
Engineering and technology,2010,African,Doctorate,39.0
Engineering and technology,2010,Coloured,Undergraduate,561.33
Engineering and technology,2010,Coloured,PG < Masters,45.5
Engineering and technology,2010,Coloured,Masters,38.5
Engineering and technology,2010,Coloured,Doctorate,3.0
Engineering and technology,2010,Indian,Undergraduate,709.42
Engineering and technology,2010,Indian,PG < Masters,60.5
Engineering and technology,2010,Indian,Masters,73.5
Engineering and technology,2010,Indian,Doctorate,5.0
Engineering and technology,2010,White,Undergraduate,3139.42
Engineering and technology,2010,White,PG < Masters,601.17
Engineering and technology,2010,White,Masters,528.33
Engineering and technology,2010,White,Doctorate,63.0
Health sciences,2010,African,Undergraduate,3895.42
Health sciences,2010,African,PG < Masters,1525.25
Health sciences,2010,African,Masters,429.0
Health sciences,2010,African,Doctorate,35.25
Health sciences,2010,Coloured,Undergraduate,686.92
Health sciences,2010,Coloured,PG < Masters,394.5
Health sciences,2010,Coloured,Masters,61.5
Health sciences,2010,Coloured,Doctorate,9.0
Health sciences,2010,Indian,Undergraduate,708.83
Health sciences,2010,Indian,PG < Masters,120.92
Health sciences,2010,Indian,Masters,128.5
Health sciences,2010,Indian,Doctorate,11.0
Health sciences,2010,White,Undergraduate,1981.75
Health sciences,2010,White,PG < Masters,642.92
Health sciences,2010,White,Masters,451.08
Health sciences,2010,White,Doctorate,54.5
"Business, economic and management sciences",2010,African,Undergraduate,20186.16
"Business, economic and management sciences",2010,African,PG < Masters,2626.17
"Business, economic and management sciences",2010,African,Masters,914.0
"Business, economic and management sciences",2010,African,Doctorate,42.5
"Business, economic and management sciences",2010,Coloured,Undergraduate,2301.42
"Business, economic and management sciences",2010,Coloured,PG < Masters,507.83
"Business, economic and management sciences",2010,Coloured,Masters,116.0
"Business, economic and management sciences",2010,Coloured,Doctorate,2.0
"Business, economic and management sciences",2010,Indian,Undergraduate,2147.83
"Business, economic and management sciences",2010,Indian,PG < Masters,850.08
"Business, economic and management sciences",2010,Indian,Masters,206.0
"Business, economic and management sciences",2010,Indian,Doctorate,14.0
"Business, economic and management sciences",2010,White,Undergraduate,7100.92
"Business, economic and management sciences",2010,White,PG < Masters,3600.92
"Business, economic and management sciences",2010,White,Masters,803.33
"Business, economic and management sciences",2010,White,Doctorate,44.5
Education,2010,African,Undergraduate,22905.0
Education,2010,African,PG < Masters,6521.25
Education,2010,African,Masters,233.5
Education,2010,African,Doctorate,63.5
Education,2010,Coloured,Undergraduate,1299.92
Education,2010,Coloured,PG < Masters,894.5
Education,2010,Coloured,Masters,46.0
Education,2010,Coloured,Doctorate,17.0
Education,2010,Indian,Undergraduate,460.33
Education,2010,Indian,PG < Masters,430.33
Education,2010,Indian,Masters,39.5
Education,2010,Indian,Doctorate,10.0
Education,2010,White,Undergraduate,1995.75
Education,2010,White,PG < Masters,2002.92
Education,2010,White,Masters,118.5
Education,2010,White,Doctorate,46.5
Humanities and social sciences,2010,African,Undergraduate,12733.83
Humanities and social sciences,2010,African,PG < Masters,2476.67
Humanities and social sciences,2010,African,Masters,1045.58
Humanities and social sciences,2010,African,Doctorate,164.5
Humanities and social sciences,2010,Coloured,Undergraduate,1936.75
Humanities and social sciences,2010,Coloured,PG < Masters,465.0
Humanities and social sciences,2010,Coloured,Masters,158.0
Humanities and social sciences,2010,Coloured,Doctorate,21.0
Humanities and social sciences,2010,Indian,Undergraduate,1199.08
Humanities and social sciences,2010,Indian,PG < Masters,264.08
Humanities and social sciences,2010,Indian,Masters,157.5
Humanities and social sciences,2010,Indian,Doctorate,27.0
Humanities and social sciences,2010,White,Undergraduate,6625.33
Humanities and social sciences,2010,White,PG < Masters,2029.92
Humanities and social sciences,2010,White,Masters,1179.58
Humanities and social sciences,2010,White,Doctorate,238.5
Natural sciences,2011,African,Undergraduate,9504.67
Natural sciences,2011,African,PG < Masters,1733.83
Natural sciences,2011,African,Masters,749.17
Natural sciences,2011,African,Doctorate,239.5
Natural sciences,2011,Coloured,Undergraduate,734.0
Natural sciences,2011,Coloured,PG < Masters,195.58
Natural sciences,2011,Coloured,Masters,86.75
Natural sciences,2011,Coloured,Doctorate,31.0
Natural sciences,2011,Indian,Undergraduate,735.92
Natural sciences,2011,Indian,PG < Masters,266.83
Natural sciences,2011,Indian,Masters,105.17
Natural sciences,2011,Indian,Doctorate,37.0
Natural sciences,2011,White,Undergraduate,3140.17
Natural sciences,2011,White,PG < Masters,1382.42
Natural sciences,2011,White,Masters,733.5
Natural sciences,2011,White,Doctorate,251.5
Engineering and technology,2011,African,Undergraduate,6868.08
Engineering and technology,2011,African,PG < Masters,421.25
Engineering and technology,2011,African,Masters,400.0
Engineering and technology,2011,African,Doctorate,47.0
Engineering and technology,2011,Coloured,Undergraduate,636.17
Engineering and technology,2011,Coloured,PG < Masters,31.17
Engineering and technology,2011,Coloured,Masters,45.0
Engineering and technology,2011,Coloured,Doctorate,4.0
Engineering and technology,2011,Indian,Undergraduate,802.58
Engineering and technology,2011,Indian,PG < Masters,102.08
Engineering and technology,2011,Indian,Masters,97.0
Engineering and technology,2011,Indian,Doctorate,13.0
Engineering and technology,2011,White,Undergraduate,3279.75
Engineering and technology,2011,White,PG < Masters,643.25
Engineering and technology,2011,White,Masters,641.92
Engineering and technology,2011,White,Doctorate,69.0
Health sciences,2011,African,Undergraduate,4233.75
Health sciences,2011,African,PG < Masters,1547.0
Health sciences,2011,African,Masters,439.08
Health sciences,2011,African,Doctorate,39.5
Health sciences,2011,Coloured,Undergraduate,738.58
Health sciences,2011,Coloured,PG < Masters,361.67
Health sciences,2011,Coloured,Masters,68.33
Health sciences,2011,Coloured,Doctorate,6.0
Health sciences,2011,Indian,Undergraduate,714.58
Health sciences,2011,Indian,PG < Masters,104.75
Health sciences,2011,Indian,Masters,129.83
Health sciences,2011,Indian,Doctorate,22.0
Health sciences,2011,White,Undergraduate,2049.33
Health sciences,2011,White,PG < Masters,605.92
Health sciences,2011,White,Masters,507.83
Health sciences,2011,White,Doctorate,87.5
"Business, economic and management sciences",2011,African,Undergraduate,22397.92
"Business, economic and management sciences",2011,African,PG < Masters,2874.5
"Business, economic and management sciences",2011,African,Masters,1071.42
"Business, economic and management sciences",2011,African,Doctorate,61.0
"Business, economic and management sciences",2011,Coloured,Undergraduate,2304.0
"Business, economic and management sciences",2011,Coloured,PG < Masters,490.75
"Business, economic and management sciences",2011,Coloured,Masters,142.17
"Business, economic and management sciences",2011,Coloured,Doctorate,4.0
"Business, economic and management sciences",2011,Indian,Undergraduate,2291.83
"Business, economic and management sciences",2011,Indian,PG < Masters,847.58
"Business, economic and management sciences",2011,Indian,Masters,255.67
"Business, economic and management sciences",2011,Indian,Doctorate,7.0
"Business, economic and management sciences",2011,White,Undergraduate,6766.83
"Business, economic and management sciences",2011,White,PG < Masters,3412.08
"Business, economic and management sciences",2011,White,Masters,947.92
"Business, economic and management sciences",2011,White,Doctorate,55.33
Education,2011,African,Undergraduate,21528.58
Education,2011,African,PG < Masters,7459.25
Education,2011,African,Masters,288.33
Education,2011,African,Doctorate,67.0
Education,2011,Coloured,Undergraduate,1265.08
Education,2011,Coloured,PG < Masters,946.5
Education,2011,Coloured,Masters,48.5
Education,2011,Coloured,Doctorate,12.0
Education,2011,Indian,Undergraduate,465.75
Education,2011,Indian,PG < Masters,396.17
Education,2011,Indian,Masters,71.67
Education,2011,Indian,Doctorate,17.0
Education,2011,White,Undergraduate,2125.83
Education,2011,White,PG < Masters,2190.0
Education,2011,White,Masters,161.67
Education,2011,White,Doctorate,56.0
Humanities and social sciences,2011,African,Undergraduate,14294.0
Humanities and social sciences,2011,African,PG < Masters,2758.17
Humanities and social sciences,2011,African,Masters,1046.0
Humanities and social sciences,2011,African,Doctorate,176.0
Humanities and social sciences,2011,Coloured,Undergraduate,1757.17
Humanities and social sciences,2011,Coloured,PG < Masters,464.33
Humanities and social sciences,2011,Coloured,Masters,154.25
Humanities and social sciences,2011,Coloured,Doctorate,23.0
Humanities and social sciences,2011,Indian,Undergraduate,1260.33
Humanities and social sciences,2011,Indian,PG < Masters,267.58
Humanities and social sciences,2011,Indian,Masters,141.67
Humanities and social sciences,2011,Indian,Doctorate,31.0
Humanities and social sciences,2011,White,Undergraduate,6347.08
Humanities and social sciences,2011,White,PG < Masters,1885.33
Humanities and social sciences,2011,White,Masters,1192.17
Humanities and social sciences,2011,White,Doctorate,205.67
Natural sciences,2012,African,Undergraduate,10873.33
Natural sciences,2012,African,PG < Masters,2013.92
Natural sciences,2012,African,Masters,774.75
Natural sciences,2012,African,Doctorate,290.0
Natural sciences,2012,Coloured,Undergraduate,832.83
Natural sciences,2012,Coloured,PG < Masters,199.67
Natural sciences,2012,Coloured,Masters,100.17
Natural sciences,2012,Coloured,Doctorate,35.0
Natural sciences,2012,Indian,Undergraduate,714.83
Natural sciences,2012,Indian,PG < Masters,265.0
Natural sciences,2012,Indian,Masters,105.83
Natural sciences,2012,Indian,Doctorate,46.0
Natural sciences,2012,White,Undergraduate,3203.16
Natural sciences,2012,White,PG < Masters,1324.0
Natural sciences,2012,White,Masters,754.25
Natural sciences,2012,White,Doctorate,273.0
Engineering and technology,2012,African,Undergraduate,7239.08
Engineering and technology,2012,African,PG < Masters,459.42
Engineering and technology,2012,African,Masters,418.0
Engineering and technology,2012,African,Doctorate,57.0
Engineering and technology,2012,Coloured,Undergraduate,644.92
Engineering and technology,2012,Coloured,PG < Masters,27.08
Engineering and technology,2012,Coloured,Masters,44.0
Engineering and technology,2012,Coloured,Doctorate,4.0
Engineering and technology,2012,Indian,Undergraduate,849.83
Engineering and technology,2012,Indian,PG < Masters,95.0
Engineering and technology,2012,Indian,Masters,105.0
Engineering and technology,2012,Indian,Doctorate,15.0
Engineering and technology,2012,White,Undergraduate,3328.75
Engineering and technology,2012,White,PG < Masters,593.58
Engineering and technology,2012,White,Masters,650.92
Engineering and technology,2012,White,Doctorate,70.0
Health sciences,2012,African,Undergraduate,4354.5
Health sciences,2012,African,PG < Masters,1707.33
Health sciences,2012,African,Masters,526.25
Health sciences,2012,African,Doctorate,62.0
Health sciences,2012,Coloured,Undergraduate,612.75
Health sciences,2012,Coloured,PG < Masters,378.58
Health sciences,2012,Coloured,Masters,73.75
Health sciences,2012,Coloured,Doctorate,9.0
Health sciences,2012,Indian,Undergraduate,693.5
Health sciences,2012,Indian,PG < Masters,126.33
Health sciences,2012,Indian,Masters,163.92
Health sciences,2012,Indian,Doctorate,19.0
Health sciences,2012,White,Undergraduate,1941.58
Health sciences,2012,White,PG < Masters,578.42
Health sciences,2012,White,Masters,533.42
Health sciences,2012,White,Doctorate,93.5
"Business, economic and management sciences",2012,African,Undergraduate,24092.92
"Business, economic and management sciences",2012,African,PG < Masters,3262.75
"Business, economic and management sciences",2012,African,Masters,1190.67
"Business, economic and management sciences",2012,African,Doctorate,70.0
"Business, economic and management sciences",2012,Coloured,Undergraduate,2316.83
"Business, economic and management sciences",2012,Coloured,PG < Masters,545.33
"Business, economic and management sciences",2012,Coloured,Masters,133.83
"Business, economic and management sciences",2012,Coloured,Doctorate,6.0
"Business, economic and management sciences",2012,Indian,Undergraduate,2200.58
"Business, economic and management sciences",2012,Indian,PG < Masters,850.75
"Business, economic and management sciences",2012,Indian,Masters,264.5
"Business, economic and management sciences",2012,Indian,Doctorate,9.0
"Business, economic and management sciences",2012,White,Undergraduate,6308.25
"Business, economic and management sciences",2012,White,PG < Masters,3508.5
"Business, economic and management sciences",2012,White,Masters,935.08
"Business, economic and management sciences",2012,White,Doctorate,74.33
Education,2012,African,Undergraduate,18283.67
Education,2012,African,PG < Masters,7788.75
Education,2012,African,Masters,330.5
Education,2012,African,Doctorate,98.5
Education,2012,Coloured,Undergraduate,1143.58
Education,2012,Coloured,PG < Masters,716.67
Education,2012,Coloured,Masters,60.5
Education,2012,Coloured,Doctorate,13.0
Education,2012,Indian,Undergraduate,597.17
Education,2012,Indian,PG < Masters,444.0
Education,2012,Indian,Masters,60.67
Education,2012,Indian,Doctorate,17.0
Education,2012,White,Undergraduate,2444.0
Education,2012,White,PG < Masters,2412.0
Education,2012,White,Masters,159.67
Education,2012,White,Doctorate,70.5
Humanities and social sciences,2012,African,Undergraduate,16700.5
Humanities and social sciences,2012,African,PG < Masters,2907.83
Humanities and social sciences,2012,African,Masters,1199.83
Humanities and social sciences,2012,African,Doctorate,226.5
Humanities and social sciences,2012,Coloured,Undergraduate,2036.08
Humanities and social sciences,2012,Coloured,PG < Masters,476.67
Humanities and social sciences,2012,Coloured,Masters,183.75
Humanities and social sciences,2012,Coloured,Doctorate,31.0
Humanities and social sciences,2012,Indian,Undergraduate,1228.08
Humanities and social sciences,2012,Indian,PG < Masters,299.91
Humanities and social sciences,2012,Indian,Masters,140.08
Humanities and social sciences,2012,Indian,Doctorate,35.0
Humanities and social sciences,2012,White,Undergraduate,6307.25
Humanities and social sciences,2012,White,PG < Masters,1893.5
Humanities and social sciences,2012,White,Masters,1178.67
Humanities and social sciences,2012,White,Doctorate,235.67
